Employee_number,Deduction_Code,Rate
290891,ER DENTAL,13.62
290891,ER HEALTH,21.36
290891,TXB LIFE,3.92
290891,TXB LTD,37.04
290902,ER DENTAL,13.62
290902,ER HEALTH,21.36
290902,TXB LIFE,3.92
290902,TXB LTD,32.81
290972,ER DENTAL,5.42
290972,ER HEALTH,9.5
290972,TXB LIFE,0.78
290972,TXB LTD,26.75
291112,ER DENTAL,5.42
291112,ER HEALTH,9.5
291112,TXB LIFE,0.78
291112,TXB LTD,17.72
291312,ER DENTAL,13.62
291312,ER HEALTH,21.36
291312,TXB LIFE,3.92
291312,TXB LTD,27.68
291516,ER DENTAL,5.42
291516,ER HEALTH,9.5
291516,TXB LIFE,0.78
291516,TXB LTD,14.98
291647,ER DENTAL,5.42
291647,ER HEALTH,9.5
291647,TXB LIFE,0.39
291665,ER DENTAL,13.62
291665,ER HEALTH,21.36
291665,TXB LIFE,0.39
291871,ER DENTAL,13.62
291871,ER HEALTH,21.36
291871,TXB LIFE,3.92
291871,TXB LTD,37.04
291958,ER DENTAL,13.62
291958,ER HEALTH,21.36
291958,TXB LIFE,0.78
291958,TXB LTD,23.09
292139,ER DENTAL,5.42
292139,ER HEALTH,9.5
292139,TXB LIFE,0.78
292139,TXB LTD,14.12
292281,ER DENTAL,13.62
292281,ER HEALTH,21.36
292281,TXB LIFE,0.78
292281,TXB LTD,14.55
292300,ER DENTAL,13.62
292300,ER HEALTH,21.36
292300,TXB LIFE,0.39
